name cp-unconnected-plain cp-fc-unconnected-plain clique-unconnected-plain mcssize generator vertices
mcs10_r005_s20.A00 0.321010 0.195961 43 mcs10 rand 20
mcs10_r005_s20.A01 0.081737 0.038224 56 mcs10 rand 20
mcs10_r005_s20.A02 0.212044 0.135743 32 mcs10 rand 20
mcs10_r005_s20.A03 0.365006 0.124680 150 mcs10 rand 20
mcs10_r005_s20.A04 0.193642 0.111357 45 mcs10 rand 20
mcs10_r005_s20.A05 1.008636 0.636969 42 mcs10 rand 20
mcs10_r005_s20.A06 0.161111 0.089738 47 mcs10 rand 20
mcs10_r005_s20.A07 0.195465 0.082339 97 mcs10 rand 20
mcs10_r005_s20.A08 2.046351 1.033276 67 mcs10 rand 20
mcs10_r005_s20.A09 1.432203 0.344121 88 mcs10 rand 20
mcs10_r005_s20.A10 0.248737 0.101594 142 mcs10 rand 20
mcs10_r005_s20.A11 0.241126 0.090629 148 mcs10 rand 20
mcs10_r005_s20.A12 0.568226 0.265935 32 mcs10 rand 20
mcs10_r005_s20.A13 0.215881 0.099620 120 mcs10 rand 20
mcs10_r005_s20.A14 0.697870 0.554622 68 mcs10 rand 20
mcs10_r005_s20.A15 2.379859 0.872038 77 mcs10 rand 20
mcs10_r005_s20.A16 0.390206 0.352806 584 mcs10 rand 20
mcs10_r005_s20.A17 0.109893 0.047906 199 mcs10 rand 20
mcs10_r005_s20.A18 0.108451 0.040466 107 mcs10 rand 20
mcs10_r005_s20.A19 0.112307 0.024428 41 mcs10 rand 20
mcs10_r005_s20.A20 1.519485 0.428581 135 mcs10 rand 20
mcs10_r005_s20.A21 0.342041 0.175241 34 mcs10 rand 20
mcs10_r005_s20.A22 0.124002 0.051148 69 mcs10 rand 20
mcs10_r005_s20.A23 0.106725 0.037384 495 mcs10 rand 20
mcs10_r005_s20.A24 0.121633 0.041593 46 mcs10 rand 20
mcs10_r005_s20.A25 0.265954 0.082930 56 mcs10 rand 20
mcs10_r005_s20.A26 7.792272 3.272204 127 mcs10 rand 20
mcs10_r005_s20.A27 0.213866 0.102956 232 mcs10 rand 20
mcs10_r005_s20.A28 0.244907 0.158410 34 mcs10 rand 20
mcs10_r005_s20.A29 0.967511 0.300785 36 mcs10 rand 20
mcs10_r005_s20.A30 0.204783 0.122571 45 mcs10 rand 20
mcs10_r005_s20.A31 1.132565 0.494345 195 mcs10 rand 20
mcs10_r005_s20.A32 0.319723 0.093880 118 mcs10 rand 20
mcs10_r005_s20.A33 1.042184 0.429800 66 mcs10 rand 20
mcs10_r005_s20.A34 1.113018 0.581977 206 mcs10 rand 20
mcs10_r005_s20.A35 1.661319 0.527939 42 mcs10 rand 20
mcs10_r005_s20.A36 0.167840 0.035372 86 mcs10 rand 20
mcs10_r005_s20.A37 0.172727 0.060427 137 mcs10 rand 20
mcs10_r005_s20.A38 1.119646 0.592854 744 mcs10 rand 20
mcs10_r005_s20.A39 0.342688 0.117908 44 mcs10 rand 20
mcs10_r005_s20.A40 0.577865 0.521693 103 mcs10 rand 20
mcs10_r005_s20.A41 11.138087 4.794392 166 mcs10 rand 20
mcs10_r005_s20.A42 0.186353 0.066707 141 mcs10 rand 20
mcs10_r005_s20.A43 0.341540 0.078738 53 mcs10 rand 20
mcs10_r005_s20.A44 0.280827 0.082977 37 mcs10 rand 20
mcs10_r005_s20.A45 0.183000 0.063921 47 mcs10 rand 20
mcs10_r005_s20.A46 0.321750 0.087708 86 mcs10 rand 20
mcs10_r005_s20.A47 0.346409 0.134191 55 mcs10 rand 20
mcs10_r005_s20.A48 4.010885 1.127761 203 mcs10 rand 20
mcs10_r005_s20.A49 0.268865 0.078317 72 mcs10 rand 20
mcs10_r005_s20.A50 3.130555 0.911044 267 mcs10 rand 20
mcs10_r005_s20.A51 7.998325 3.322807 286 mcs10 rand 20
mcs10_r005_s20.A52 0.988878 0.345422 52 mcs10 rand 20
mcs10_r005_s20.A53 2.670446 1.510125 114 mcs10 rand 20
mcs10_r005_s20.A54 1.411732 0.597189 163 mcs10 rand 20
mcs10_r005_s20.A55 0.889422 1.162572 57 mcs10 rand 20
mcs10_r005_s20.A56 0.164476 0.035551 55 mcs10 rand 20
mcs10_r005_s20.A57 0.083626 0.050252 125 mcs10 rand 20
mcs10_r005_s20.A58 0.348079 0.119654 71 mcs10 rand 20
mcs10_r005_s20.A59 0.245889 0.075969 52 mcs10 rand 20
mcs10_r005_s20.A60 0.062196 0.016058 86 mcs10 rand 20
mcs10_r005_s20.A61 1.010659 0.413299 124 mcs10 rand 20
mcs10_r005_s20.A62 0.606512 0.189978 169 mcs10 rand 20
mcs10_r005_s20.A63 0.257565 0.108011 37 mcs10 rand 20
mcs10_r005_s20.A64 0.059799 0.018573 42 mcs10 rand 20
mcs10_r005_s20.A65 1.675815 0.456675 178 mcs10 rand 20
mcs10_r005_s20.A66 0.032913 0.026339 39 mcs10 rand 20
mcs10_r005_s20.A67 1.377076 0.437284 221 mcs10 rand 20
mcs10_r005_s20.A68 0.628974 0.176141 132 mcs10 rand 20
mcs10_r005_s20.A69 0.227326 0.048332 116 mcs10 rand 20
